1291 2213 10 400 0.2 1.7141750581 0.001187
198 4012 20 400 30  20.2626262626 0.000416
493 30905 30 500 30  62.6876267748 0.002538
657 52988 25 500 30  80.6514459665 0.006609
2103 209885 20 300 20  99.8026628626 0.031613
1655 203843 20 400 20  123.1679758308 0.031702
